feature,importance,fold
CODE_GENDER,180,1
FLAG_OWN_CAR,6,1
FLAG_OWN_REALTY,15,1
CNT_CHILDREN,10,1
AMT_INCOME_TOTAL,146,1
AMT_CREDIT,302,1
AMT_ANNUITY,509,1
AMT_GOODS_PRICE,320,1
REGION_POPULATION_RELATIVE,330,1
DAYS_BIRTH,790,1
DAYS_EMPLOYED,552,1
DAYS_REGISTRATION,303,1
DAYS_ID_PUBLISH,444,1
OWN_CAR_AGE,257,1
FLAG_MOBIL,0,1
FLAG_EMP_PHONE,0,1
FLAG_WORK_PHONE,87,1
FLAG_CONT_MOBILE,0,1
FLAG_PHONE,40,1
FLAG_EMAIL,3,1
CNT_FAM_MEMBERS,19,1
REGION_RATING_CLIENT,16,1
REGION_RATING_CLIENT_W_CITY,106,1
HOUR_APPR_PROCESS_START,111,1
REG_REGION_NOT_LIVE_REGION,0,1
REG_REGION_NOT_WORK_REGION,0,1
LIVE_REGION_NOT_WORK_REGION,6,1
REG_CITY_NOT_LIVE_CITY,63,1
REG_CITY_NOT_WORK_CITY,2,1
LIVE_CITY_NOT_WORK_CITY,13,1
EXT_SOURCE_1,1017,1
EXT_SOURCE_2,878,1
EXT_SOURCE_3,995,1
APARTMENTS_AVG,48,1
BASEMENTAREA_AVG,54,1
YEARS_BEGINEXPLUATATION_AVG,60,1
YEARS_BUILD_AVG,29,1
COMMONAREA_AVG,32,1
ELEVATORS_AVG,17,1
ENTRANCES_AVG,35,1
FLOORSMAX_AVG,41,1
FLOORSMIN_AVG,11,1
LANDAREA_AVG,74,1
LIVINGAPARTMENTS_AVG,56,1
LIVINGAREA_AVG,66,1
NONLIVINGAPARTMENTS_AVG,32,1
NONLIVINGAREA_AVG,40,1
APARTMENTS_MODE,83,1
BASEMENTAREA_MODE,51,1
YEARS_BEGINEXPLUATATION_MODE,69,1
YEARS_BUILD_MODE,34,1
COMMONAREA_MODE,38,1
ELEVATORS_MODE,13,1
ENTRANCES_MODE,17,1
FLOORSMAX_MODE,11,1
FLOORSMIN_MODE,23,1
LANDAREA_MODE,79,1
LIVINGAPARTMENTS_MODE,47,1
LIVINGAREA_MODE,40,1
NONLIVINGAPARTMENTS_MODE,4,1
NONLIVINGAREA_MODE,53,1
APARTMENTS_MEDI,45,1
BASEMENTAREA_MEDI,54,1
YEARS_BEGINEXPLUATATION_MEDI,72,1
YEARS_BUILD_MEDI,23,1
COMMONAREA_MEDI,43,1
ELEVATORS_MEDI,3,1
ENTRANCES_MEDI,23,1
FLOORSMAX_MEDI,8,1
FLOORSMIN_MEDI,4,1
LANDAREA_MEDI,44,1
LIVINGAPARTMENTS_MEDI,49,1
LIVINGAREA_MEDI,52,1
NONLIVINGAPARTMENTS_MEDI,8,1
NONLIVINGAREA_MEDI,35,1
TOTALAREA_MODE,103,1
OBS_30_CNT_SOCIAL_CIRCLE,61,1
DEF_30_CNT_SOCIAL_CIRCLE,87,1
OBS_60_CNT_SOCIAL_CIRCLE,57,1
DEF_60_CNT_SOCIAL_CIRCLE,48,1
DAYS_LAST_PHONE_CHANGE,280,1
FLAG_DOCUMENT_2,0,1
FLAG_DOCUMENT_3,83,1
FLAG_DOCUMENT_4,0,1
FLAG_DOCUMENT_5,0,1
FLAG_DOCUMENT_6,3,1
FLAG_DOCUMENT_7,0,1
FLAG_DOCUMENT_8,3,1
FLAG_DOCUMENT_9,0,1
FLAG_DOCUMENT_10,0,1
FLAG_DOCUMENT_11,3,1
FLAG_DOCUMENT_12,0,1
FLAG_DOCUMENT_13,0,1
FLAG_DOCUMENT_14,0,1
FLAG_DOCUMENT_15,0,1
FLAG_DOCUMENT_16,26,1
FLAG_DOCUMENT_17,0,1
FLAG_DOCUMENT_18,29,1
FLAG_DOCUMENT_19,0,1
FLAG_DOCUMENT_20,0,1
FLAG_DOCUMENT_21,0,1
AMT_REQ_CREDIT_BUREAU_HOUR,0,1
AMT_REQ_CREDIT_BUREAU_DAY,6,1
AMT_REQ_CREDIT_BUREAU_WEEK,13,1
AMT_REQ_CREDIT_BUREAU_MON,13,1
AMT_REQ_CREDIT_BUREAU_QRT,52,1
AMT_REQ_CREDIT_BUREAU_YEAR,46,1
NAME_CONTRACT_TYPE_Cashloans,75,1
NAME_CONTRACT_TYPE_Revolvingloans,8,1
NAME_TYPE_SUITE_Children,0,1
NAME_TYPE_SUITE_Family,3,1
NAME_TYPE_SUITE_Groupofpeople,0,1
NAME_TYPE_SUITE_Other_A,0,1
NAME_TYPE_SUITE_Other_B,6,1
NAME_TYPE_SUITE_Spousepartner,7,1
NAME_TYPE_SUITE_Unaccompanied,3,1
NAME_INCOME_TYPE_Businessman,0,1
NAME_INCOME_TYPE_Commercialassociate,11,1
NAME_INCOME_TYPE_Maternityleave,0,1
NAME_INCOME_TYPE_Pensioner,0,1
NAME_INCOME_TYPE_Stateservant,38,1
NAME_INCOME_TYPE_Student,0,1
NAME_INCOME_TYPE_Unemployed,0,1
NAME_INCOME_TYPE_Working,32,1
NAME_EDUCATION_TYPE_Academicdegree,0,1
NAME_EDUCATION_TYPE_Highereducation,80,1
NAME_EDUCATION_TYPE_Incompletehigher,14,1
NAME_EDUCATION_TYPE_Lowersecondary,13,1
NAME_EDUCATION_TYPE_Secondarysecondaryspecial,51,1
NAME_FAMILY_STATUS_Civilmarriage,2,1
NAME_FAMILY_STATUS_Married,140,1
NAME_FAMILY_STATUS_Separated,2,1
NAME_FAMILY_STATUS_Singlenotmarried,9,1
NAME_FAMILY_STATUS_Unknown,0,1
NAME_FAMILY_STATUS_Widow,4,1
